State,Industry_Type,Year,Industrial_Output_Crore,Employment_Lakh,Investment_Crore,Factories_Count,Pollution_Index,Electricity_Consumption_GWh,Export_Crore
Andhra Pradesh,Pharmaceutical,2016,23916,13.68,28673,5012,12.2,16900,4298
Goa,Chemical,2023,16289,59.96,286,5837,36.89,2246,23742
Gujarat,Pharmaceutical,2023,20741,51.08,14233,8533,56.49,12802,8586
Haryana,Chemical,2020,27211,6.22,20790,7407,17.44,17768,21859
Uttarakhand,Automobile,2017,16177,81.89,13118,3852,47.5,12100,5850
Uttarakhand,Energy,2021,36416,21.66,15393,3183,92.93,,18022
Punjab,Energy,2019,2317,67.57,8242,4316,40.23,16206,2794
Tamil Nadu,Energy,2023,13465,,11257,2873,87.35,12178,12465
Assam,Electronics,2021,1120,,20650,4979,87.48,946,9761
Tamil Nadu,IT,2022,46036,23.65,2870,651,59.47,19365,1878
Assam,Energy,2016,17889,5.65,13563,4723,71.58,1215,15014
Kerala,Chemical,2025,11134,38.06,20095,817,93.52,6084,23067
Maharashtra,Chemical,2021,11323,,23609,923,60.73,8797,18707
Bihar,Electronics,2015,17998,17.25,2454,6482,60.08,11837,6054
Karnataka,Pharmaceutical,2020,49566,71.23,23423,6325,55.2,9817,24523
West Bengal,Textile,2022,34030,96.88,4909,,27.96,784,3073
Uttarakhand,Mining,2021,37059,70.54,24568,7405,34.56,1302,3702
Rajasthan,Food Processing,2024,37240,15.95,21419,4797,51.4,,8634
Assam,Mining,2025,35114,61.08,20405,7720,37.54,8146,13251
Bihar,Automobile,2019,19343,87.39,25262,2124,39.29,17398,7850
Kerala,IT,2019,26581,89.51,7442,3382,38.89,15861,24012
nan,Steel,2019,17368,68.63,23346,863,72.66,6904,19339
Tamil Nadu,Textile,2015,15275,60.24,8079,4239,28.11,3643,17543
Telangana,Pharmaceutical,2020,46563,53.54,19425,8907,91.45,11974,17993
Madhya Pradesh,Automobile,2020,20504,31.58,nan,9135,61.04,7147,7476
Jharkhand,IT,2019,11179,80.01,19360,1450,84.38,4521,13152
West Bengal,Automobile,2016,32915,1.73,13781,3802,,19001,15728
Madhya Pradesh,Textile,2015,15285,,9540,6197,76.02,2917,1129
Rajasthan,IT,2019,18975,94.07,5781,8350,35.53,12811,3520
Goa,Mining,2017,20527,42.49,10302,85,76.8,19356,13237
Chhattisgarh,Pharmaceutical,2018,9637,90.38,25377,8531,66.99,12784,11389
Uttarakhand,Chemical,2017,10514,8.48,24753,1279,57.74,10294,10403
Assam,,2015,23183,64.07,1764,2097,12.55,10188,23630
nan,Food Processing,2024,49134,66.64,21187,3911,21.15,2587,4310
Bihar,Pharmaceutical,2024,38604,76.13,nan,8689,65.34,487,8834
Madhya Pradesh,Energy,2024,17069,32.9,3802,3013,27.67,268,1517
Chhattisgarh,Energy,2019,19032,,11968,9353,36.74,17139,12663
Goa,Mining,2024,14037,50.28,7888,1864,31.17,14440,3958
Goa,Energy,2024,48479,73.38,23220,2239,72.99,7877,17335
Uttar Pradesh,IT,2020,34199,42.42,10139,2415,65.55,11607,15414
Bihar,Textile,,8559,90.59,28910,8713,28.47,5219,5885
West Bengal,Energy,2024,43911,,17372,3666,43.89,6424,13368
Chhattisgarh,Mining,2020,19330,62.43,13898,,77.69,9595,20029
Chhattisgarh,Textile,2018,43709,24.53,27060,2305,43.8,1367,2944
Assam,Electronics,2021,2025,54.44,4753,166,33.57,10219,10186
Karnataka,Electronics,2019,28836,85.03,20038,1789,94.46,19699,11997
Tamil Nadu,Food Processing,2025,23877,69.57,Unknown,3221,23.08,15024,19400
Karnataka,Food Processing,2019,6566,87.37,29532,6240,91.37,19550,6643
Assam,Steel,2024,9578,9.77,1203,8366,,8438,22714
Chhattisgarh,,2025,9253,26.56,14601,5178,64.95,10638,6622
Rajasthan,Mining,2023,39202,50.29,22415,9287,86.38,7372,13320
Tamil Nadu,,2016,26522,45.5,24403,8614,23.56,19516,7330
Maharashtra,Automobile,2016,28199,46.87,7755,1965,51.09,7542,22003
Telangana,IT,2016,24685,5.5,17057,3217,13.29,11548,21581
Chhattisgarh,Steel,2024,2210,3.26,15881,7315,40.17,11310,10661
Odisha,,2016,25871,59.3,9009,2252,,11697,18766
Assam,Food Processing,2022,15247,57.06,23953,5245,80.55,12170,6684
Telangana,Automobile,2023,12911,78.4,23462,2445,58.47,5329,6688
Tamil Nadu,Chemical,2017,22531,26.78,7541,985,75.32,6936,22297
Karnataka,Chemical,2022,38107,83.47,29101,5332,44.45,4346,12867
Rajasthan,Pharmaceutical,2024,36134,75.5,5785,1208,39.01,11048,1023
Jharkhand,Automobile,2023,1412,94.37,15959,7483,89.57,2383,6175
Assam,Mining,2015,10894,69.13,4761,9699,85.02,1596,7097
Uttar Pradesh,Energy,2023,33763,47.04,25927,5337,81.73,12006,
Karnataka,Chemical,2018,2268,53.5,20558,8998,31.34,15049,10381
Assam,Automobile,2016,21804,80.95,130,1595,14.61,13234,20862
Uttar Pradesh,,2019,26470,25.17,11054,7116,88.75,1073,1743
Odisha,Steel,2021,22841,3.58,4752,8679,82.17,1529,23812
Goa,Energy,2020,9599,27.4,14405,,38.89,7213,16439
Uttar Pradesh,Automobile,2022,43960,99.12,27025,2052,35.27,8033,12832
Goa,IT,2018,20435,81.8,11055,7738,65.94,17477,15115
Punjab,Pharmaceutical,2024,48957,56.96,584,4163,16.51,15317,9335
Uttarakhand,Steel,2018,43472,11.98,1262,1051,33.17,18357,11320
Uttar Pradesh,Pharmaceutical,2018,20802,65.15,22208,560,40.9,8127,22759
Bihar,Textile,2021,1360,78.81,7523,6962,20.89,7117,24979
Kerala,Chemical,2025,30495,92.05,23208,7216,89.34,3240,14503
Chhattisgarh,Textile,2018,38276,43.38,27707,6458,79.18,4678,14420
Uttarakhand,Textile,2015,5327,4.73,11528,7621,53.03,2050,10430
Maharashtra,Energy,2023,35014,12.37,24802,7531,70.51,17429,12010
Rajasthan,Chemical,2025,21942,15.35,14262,5784,89.51,11284,
Haryana,Pharmaceutical,2019,10021,58.08,16022,1172,56.6,16339,5978
Assam,Pharmaceutical,2018,20940,7.18,27117,1768,76.86,17175,6594
Andhra Pradesh,Pharmaceutical,2019,8887,83.91,9068,601,85.67,12769,11103
Rajasthan,Mining,2024,24248,30.91,6486,260,84.32,16327,20345
West Bengal,Steel,2019,19623,45.26,16728,8063,77.77,16584,17520
Maharashtra,Automobile,2018,29713,24.05,14862,91,43.76,13039,19858
Haryana,Energy,2024,27152,25.78,9642,8071,70.62,6560,7637
Haryana,Steel,2024,26513,13.05,29269,2224,37.18,1853,24691
West Bengal,Pharmaceutical,2015,18146,87.75,6930,1465,93.23,4309,6530
Odisha,Electronics,2015,3454,,28409,4222,35.88,12662,12065
Madhya Pradesh,Electronics,2024,4916,15.73,11182,2355,64.16,18932,23020
Goa,Electronics,2016,26764,11.71,Unknown,7217,80.87,2856,20469
Madhya Pradesh,Food Processing,2019,38734,69.15,7157,8039,31.86,7861,184
Tamil Nadu,Textile,2021,22908,33.49,6961,349,82.86,19879,9358
Kerala,IT,2021,12728,47.8,8311,7909,87.17,19149,20479
Gujarat,Electronics,2019,3158,56.94,25244,4519,72.92,163,3771
Uttar Pradesh,Electronics,2023,12783,45.75,11014,1186,61.38,11352,20441
Maharashtra ,Automobile,2022,35218,92.9,1566,8495,70.77,4552,16873
Goa,Automobile,2018,,28.58,11929,1590,32.53,7625,21713
Bihar,Pharmaceutical,2022,10014,43.83,19569,2549,58.9,13500,20391
Odisha ,IT,2016,35543,14.06,11582,264,82.66,12443,15147
Gujarat,Electronics,2015,17907,11.95,6378,9636,60.09,19309,19973
Tamil Nadu,IT,2020,25956,,8473,9881,82.86,17426,10872
Madhya Pradesh,Electronics,2020,31082,63.06,22550,2570,24.92,10861,15178
Punjab,IT,2022,46385,58.53,14198,7083,43.18,1179,24692
Uttar Pradesh,Energy,2016,38544,9.21,5986,2792,59.27,4340,10375
Karnataka,,2015,9787,78.84,29775,3512,63.13,12306,17885
Karnataka,Mining,2017,35286,75.02,12938,9112,92.2,13225,10809
nan,Energy,2015,19175,80.29,8633,4606,32.76,14152,10890
Uttar Pradesh,Food Processing,2023,26658,54.52,17292,1742,82.64,13734,20840
Punjab,Electronics,2015,38902,83.25,19825,,79.86,,
Bihar,Chemical,2017,20648,90.94,22055,9075,23,14403,11185
Telangana,Electronics,2021,5241,32.19,23143,2593,94.26,18298,9326
Madhya Pradesh,IT,2018,31995,33.7,26673,2853,47.8,571,19987
Kerala,Energy,2024,3586,46.47,17707,8030,48.19,10863,10360
Gujarat,Textile,2015,35837,57.83,22747,8090,52.96,,8929
Telangana,Steel,2020,37223,94.69,11526,925,26.68,3429,18690
Assam,Food Processing,2020,21040,80.92,4254,3941,84.94,19484,7895
Bihar,Food Processing,2020,41071,63.46,29397,,73.85,8295,18755
Haryana,Automobile,2019,31189,82.54,27571,581,83.12,15162,13572
Haryana ,Steel,2019,32783,24.91,2644,8741,85.92,343,18269
Kerala,Energy,,,62.18,6343,8295,27.35,18134,1553
Telangana,Energy,2024,5174,53.63,7079,9321,30.37,16183,8670
Kerala,,2015,31425,31.41,20464,468,64.94,8271,4760
Chhattisgarh,Mining,2017,37636,86.81,4042,1185,66.1,12711,4774
Bihar,Electronics,2017,40108,42.07,Unknown,9042,84.64,19352,7795
Rajasthan,Pharmaceutical,2020,4494,64.55,24749,121,73.66,15971,14241
Chhattisgarh ,IT,2025,32626,24.72,11924,8537,92.56,17363,23987
West Bengal ,Steel,2023,42924,8.32,7756,9100,34.52,3301,10047
Assam,Energy,2018,17824,67.88,236,1282,87.37,10089,4862
Telangana,Electronics,2015,47187,72.72,10494,338,74.79,10390,5539
Goa,Energy,2016,1643,87.16,13223,8189,23.3,11907,418
Karnataka,Mining,2020,1839,42.84,29158,8622,41.48,5465,18571
West Bengal,Textile,2018,27664,30.53,28705,2245,15.34,14815,11346
Bihar,Textile,2020,23516,83.11,14386,9853,30.82,6854,23877
Jharkhand,Chemical,2015,8901,8.41,14479,7578,43.88,11475,1551
Chhattisgarh,Pharmaceutical,2025,43807,82.58,nan,8845,31.38,5516,14410
Chhattisgarh,Mining,2020,35760,39.27,13599,6911,13.96,16896,5648
Rajasthan,,2021,29373,26.09,29583,864,33.06,14912,22559
Assam,Pharmaceutical,2021,29668,30.33,17604,8283,11.1,19154,7226
Odisha,Food Processing,2015,42224,37.1,15825,1065,66.73,14162,15177
Madhya Pradesh,IT,2017,40328,86.78,21024,5420,73.95,12841,4080
Haryana,Steel,2023,13527,40.61,21616,9672,42.99,5118,22075
Maharashtra,Electronics,2017,7726,,13901,9989,66.32,17897,22715
Goa,Automobile,2022,38270,38.41,25708,6971,74.74,14619,9545
Andhra Pradesh,Electronics,2018,40980,87.49,3950,9912,13.89,17274,2225
Uttarakhand,Chemical,2020,7196,67.15,4578,3579,61,14674,20207
Bihar,Chemical,2025,25225,38.75,3369,6911,39.82,1043,11540
Rajasthan,Chemical,2017,37060,60.1,7516,1868,25.08,6868,3791
West Bengal,Textile,2023,43531,31.26,12162,83,31.16,13101,15752
Punjab,Automobile,,44281,58.1,nan,2111,34.88,1563,21390
Goa,,2021,43690,56.39,14389,3676,84.44,6204,14017
Maharashtra,Mining,2019,40139,77.7,25108,5952,49.55,6874,7033
Kerala,Pharmaceutical,2018,47464,38.61,2926,249,38.3,1811,21936
Punjab,Energy,2023,9359,88.55,7634,1323,62.17,13111,17330
Uttarakhand,IT,2015,1884,47.68,24262,9826,90.22,11257,16009
Andhra Pradesh,Textile,2017,48679,87.55,20650,6136,84.44,6992,23547
Chhattisgarh,Energy,2020,27786,46.65,671,3593,28.56,16044,536
West Bengal,Steel,2018,32058,83.22,6864,2397,11.27,4448,16878
Chhattisgarh,Electronics,2024,17149,26.23,8065,5368,41.15,699,11962
Tamil Nadu,IT,2022,2580,42.22,1971,9879,28.41,18769,13977
Assam,Textile,2025,,50.69,24966,1175,90.41,,2350
Chhattisgarh,Mining,2020,32101,3.85,18643,2392,57.49,7111,16476
nan,Textile,2015,16919,74.99,25524,4502,87.81,403,23970
Karnataka,Food Processing,2023,10085,88.55,8330,5102,52.8,12576,20259
Goa ,Pharmaceutical,2022,6993,70.32,1876,158,83.7,1197,14687
Madhya Pradesh,Food Processing,2025,39145,61.76,17939,8911,68.09,19112,15323
West Bengal,Steel,2017,33028,87.27,7699,1303,83.26,14258,19638
Tamil Nadu,Electronics,2024,43227,83.71,18455,727,74.44,3009,23892
Maharashtra,Textile,,41902,37.76,11969,2802,69.85,18406,13546
Kerala,Chemical,2025,43084,74.32,nan,7024,70.95,12700,3290
Odisha,Automobile,2021,6816,76.59,5775,2655,94.81,3712,12557
Kerala,Textile,2018,29889,7.37,25629,1674,74.43,17369,17397
Karnataka,Pharmaceutical,,1029,4.71,10653,7922,27.78,15412,8393
Telangana,Pharmaceutical,2023,18118,45.22,24768,648,65.32,6621,13371
Uttarakhand,Electronics,2023,36458,84.47,12540,4534,52.64,12489,21854
Telangana,IT,2017,19208,86.69,26471,1279,34.87,17896,16117
Kerala,Food Processing,2018,9977,84.75,nan,4179,44.15,3311,2427
Jharkhand,Automobile,2019,15527,62.02,23016,941,47.17,953,5251
Assam,Food Processing,2020,48136,52.67,27603,8197,11.95,15974,11070
West Bengal,,2025,12625,46.28,28710,4717,89.53,8111,6382
Assam,IT,2024,42574,72.03,16669,9706,52.36,17678,24225
Punjab,Food Processing,2022,9549,18.25,17616,7576,60.44,10858,22691
Rajasthan,Automobile,2015,29737,39.16,12606,5900,73.4,2992,4512
nan,Energy,2022,10370,87.89,22637,346,55.12,12118,17217
Goa,Automobile,2025,15985,67.58,14588,3953,55.74,5955,12920
Maharashtra,Automobile,2022,15228,16.05,11938,3220,12.09,,18525
Odisha,Automobile,2015,1493,7.77,13567,9176,68.22,15137,10043
Kerala,Electronics,2017,28553,49.6,9009,7783,69.12,2099,13882
nan,Food Processing,2020,46721,5.08,4217,4943,10.97,13757,1277
Uttar Pradesh,,2015,29696,42.25,10970,3541,64.37,16327,19810
Goa,Pharmaceutical,2018,29456,63.77,13585,6189,36.57,6454,23427
Gujarat,Food Processing,2023,20907,60.86,383,9184,73.99,,18972
Maharashtra,Food Processing,2025,45602,30.48,18186,2069,54.71,11890,10783
Rajasthan,Chemical,2021,5513,72.03,11516,8482,59.44,10875,16053
Karnataka,,2022,3440,,21897,8145,88.38,4844,19204
Karnataka,Energy,2022,19142,75.16,7199,1870,59.46,15167,8269
Goa,Chemical,2019,42707,96.64,980,4646,40.42,4167,24798
Uttarakhand,IT,2024,36444,7.59,nan,6174,78.31,18325,14917
Odisha,Pharmaceutical,2019,22921,49.35,20691,3999,66.57,2489,13894
Andhra Pradesh ,Mining,2024,14716,39.38,10113,7717,59.45,15367,16340
nan,IT,2018,20062,31.91,25936,8262,89.85,6381,6130
Andhra Pradesh,Textile,2025,32736,58.32,nan,3911,,17757,531
Punjab ,Energy,2023,49030,44.15,3695,3669,63.16,7254,21935
Assam,Electronics,2016,7358,5,12691,,23.39,11279,14835
Uttarakhand,Chemical,2017,4132,6.69,10466,4382,16.92,,9717
Haryana,Chemical,2017,15868,19.75,5587,5570,75.89,11003,7495
Kerala,Mining,2024,22086,33.53,21174,6691,77.44,8393,6547
Madhya Pradesh,Energy,2024,21697,9,28859,8643,41.57,19399,4475
Karnataka,Pharmaceutical,,34420,53.18,21755,1213,38.15,11129,18215
Tamil Nadu,Automobile,2015,26299,53.39,28319,9799,78.91,10023,12265
Jharkhand,Mining,2025,43365,32.03,1908,,13.6,17712,23133
Uttarakhand,Mining,2020,4794,,6573,6966,77.79,7602,6632
Karnataka,Textile,2023,2229,21.16,21485,3660,70.78,18924,375
Tamil Nadu,,2017,11366,83.49,8609,8640,65.19,1381,24710
Maharashtra,Mining,2018,3897,92.73,7803,2017,59.66,855,697
Rajasthan,Electronics,2021,11939,58.23,10043,7181,36.4,14797,16615
Jharkhand,Pharmaceutical,2016,30030,4.21,Unknown,4350,88.36,8191,10317
Uttarakhand,Automobile,2015,22384,56.49,22129,6568,58.62,3033,12846
Madhya Pradesh,Electronics,2022,16058,20.77,18353,8123,85.68,11111,17421
Assam,Steel,2022,23888,69.2,2227,3824,31.12,501,18900
Gujarat,IT,2015,41286,79.64,2150,1923,76.13,294,3643
Tamil Nadu,Mining,2021,33414,41.31,18126,3278,89.98,4100,10590
Jharkhand,Textile,2018,2829,68.17,11177,7012,73.32,11025,24633
Uttarakhand,,2024,9123,32.25,24552,6956,80.5,7312,22795
Rajasthan,Pharmaceutical,2017,37343,30.16,8525,8942,92.5,13895,3141
Madhya Pradesh,Food Processing,2025,38855,61.37,19563,9601,72.75,4332,2726
Tamil Nadu,Pharmaceutical,2017,13416,10.47,5572,5817,51.21,16159,4681
Uttar Pradesh,Chemical,2019,41450,2.39,24390,8434,10.95,18553,9008
West Bengal,Energy,2020,45879,43.74,22501,7217,12.47,15409,22477
Assam,Energy,2020,44467,11.68,nan,8638,,16954,2961
Punjab,IT,2022,14659,47.32,7752,9481,45.33,13610,19303
West Bengal,Energy,2024,41164,3.72,2142,9887,15.66,14193,23272
Uttar Pradesh,Chemical,2019,20829,74.04,19612,5976,81.16,15406,16755
Chhattisgarh,Steel,2020,3393,45.08,28981,1914,44.46,19749,17506
Gujarat,Textile,2017,36235,7.98,Unknown,5172,80.78,18007,21845
Kerala,Automobile,2018,21230,9.44,15672,6319,,14657,15082
Chhattisgarh,Food Processing,2018,30774,35.26,3455,2431,84.72,2115,14338
Assam,Pharmaceutical,2016,36998,97.22,22364,6975,31.85,4528,738
Maharashtra,Pharmaceutical,2019,36550,89.55,8672,,32.9,4945,17734
Karnataka,Food Processing,2015,23442,9.27,986,5405,22.92,994,23858
Uttarakhand ,Chemical,2023,46023,,11559,65,94.35,15023,23796
Bihar,Food Processing,2019,47128,64.71,1965,4293,94.09,12988,23126
Rajasthan,Pharmaceutical,2017,49026,49.62,4938,7811,41.08,18651,19187
